id,fund,name,website,sectors,pmo_score,relevance,group_id,functional_group,group_rationale
1328,learn-capital,Teachmint,https://www.teachmint.com/,education,2.2,0,G1,"Комплексные платформы, школы и курсы",Интегрированная школьная платформа (LMS+коммуникация+контент).
1330,learn-capital,Udemy,https://www.udemy.com/,education,3.0,0,G1,"Комплексные платформы, школы и курсы",Маркетплейс онлайн-курсов по запросу.
1611,new-schools,"Urban Assembly, Inc.",https://www.urbanassembly.org,Teaching Reimagined,3.0,0,G1,"Комплексные платформы, школы и курсы",Сеть карьерно-ориентированных школ (school network).
1641,owl-ventures,Brisk Teaching,https://www.briskteaching.com/,Pre K-12,1.0,0,G1,"Комплексные платформы, школы и курсы","AI Chrome-расширение, автоматизирующее работу учителя."
1673,owl-ventures,Leleketang,https://www.leleketang.com/,Pre K-12,0.0,0,G1,"Комплексные платформы, школы и курсы",Платформа доступа к качественному K-12 образованию.
1696,owl-ventures,Sizzle,https://web.szl.ai/,Pre K-12;Future of Work,7.2,0,G1,"Комплексные платформы, школы и курсы",AI + социальное обучающее приложение (комплексное).
1703,owl-ventures,Subject,https://subject.com/,Pre K-12,1.8,0,G1,"Комплексные платформы, школы и курсы",Платформа аккредитованных HS-курсов с преподавателями (онлайн-школа).
1729,reach-capital,CoderHouse,https://www.coderhouse.com/,Learning,0.8,0,G1,"Комплексные платформы, школы и курсы",Живые онлайн-курсы для апскилла профессионалов (провайдер курсов).
1732,reach-capital,Curiosities,https://www.curiosities.ai/,Learning,5.2,0,G1,"Комплексные платформы, школы и курсы",AI-приложение для развития критического мышления у детей.
1803,reach-capital,SuperHi,https://www.superhi.com/,Learning,0.6,0,G1,"Комплексные платформы, школы и курсы",Протокол/маркетплейс обмена образовательным контентом за оплату.
1806,reach-capital,TeachShare,https://www.teachshare.com/,Learning,6.6,0,G1,"Комплексные платформы, школы и курсы",All-in-one платформа адаптивного образования (создать/гейм/проверка).
1807,reach-capital,Teachy,https://www.teachy.com.br/,Learning,0.0,0,G1,"Комплексные платформы, школы и курсы",AI-рабочее пространство для учителей.
2247,y-combinator,Shepherd,https://www.shepherd.study,Education,5.4,0,G1,"Комплексные платформы, школы и курсы",Комплексная платформа: AI-самообучение+тьюторинг+коллаборация+аналитика.
2261,y-combinator,Koala,https://www.teachwithkoala.com,Education,3.0,0,G1,"Комплексные платформы, школы и курсы",Интерактивная платформа для онлайн-преподавания детям.
2275,y-combinator,AppX,https://appx.co.in,Education,3.2,0,G1,"Комплексные платформы, школы и курсы",Платформа для создателей: запуск приложений и монетизация курсов.
2277,y-combinator,Kiwify,https://kiwify.com.br,Education,0.0,0,G1,"Комплексные платформы, школы и курсы",Платформа создания и продажи онлайн-курсов (Бразилия).
2281,y-combinator,Kidato,https://www.kidato.com,Education,2.6,0,G1,"Комплексные платформы, школы и курсы",Полноценная онлайн-школа с живыми учителями (5:1).
2320,y-combinator,Edwin,https://edwin.ai,Education,6.8,0,G1,"Комплексные платформы, школы и курсы",Адаптивное обучение + NLU разговорная практика + инструкторы.
2331,y-combinator,One Month,http://onemonth.com,Education,0.8,0,G1,"Комплексные платформы, школы и курсы",Ускоренная обучающая платформа с готовыми курсами.
2339,y-combinator,Degrees of Freedom,https://www.DegreesOfFreedom.org,Education,2.4,0,G1,"Комплексные платформы, школы и курсы",Blended/VR модель получения степени (онлайн-вуз).
2341,y-combinator,Foreword,https://www.foreword.live/,Education,2.8,0,G1,"Комплексные платформы, школы и курсы",Маркетплейс живых онлайн-воркшопов для профессионалов.
1201,gsv-ventures,Filo,https://askfilo.com/en-us,,5.8,4,G2,Живое обучение и репетиторы,Мгновенное живое 1:1 видео-тьюторство.
2280,y-combinator,Poliglota,https://www.poliglota.org/,Education,3.2,3,G2,Живое обучение и репетиторы,Онлайн-языковая школа с групповыми живыми занятиями.
1555,new-schools,Step Up Tutoring,https://www.stepuptutoring.org/,"GenAI Math Tutoring,Learning Solutions",3.2,2,G2,Живое обучение и репетиторы,Виртуальное 1:1 тьюторство + GenAI-инструменты для тьюторов.
1783,reach-capital,PeerTeach,https://www.peerteach.org/,Learning,2.8,2,G2,Живое обучение и репетиторы,Data-driven взаимное (peer) обучение математике.
1163,edu-capital,preply,https://preply.com,Future of education,3.4,0,G2,Живое обучение и репетиторы,Маркетплейс репетиторов по языкам.
1226,gsv-ventures,Openhouse,https://openhouse.study/,,3.6,0,G2,Живое обучение и репетиторы,Физическое внешкольное пространство с живыми занятиями.
1304,learn-capital,Nerdy,https://www.nerdy.com/,education,7.2,0,G2,Живое обучение и репетиторы,Маркетплейс репетиторов (Varsity Tutors).
1663,owl-ventures,Ignite,https://ignite-reading.com/,Pre K-12,4.8,0,G2,Живое обучение и репетиторы,1:1 виртуальное тьюторство чтения K-8.
1688,owl-ventures,Preplay,https://preply.com/,Future of Work,2.6,0,G2,Живое обучение и репетиторы,Платформа подбора репетиторов через онлайн-чат.
1787,reach-capital,Preply,https://preply.com/,Learning,3.4,0,G2,Живое обучение и репетиторы,Маркетплейс репетиторов.
2230,y-combinator,Cambly,http://www.cambly.com,Education,5.0,0,G2,Живое обучение и репетиторы,Мгновенный 1:1 видео-чат с носителями языка (репетиторы).
2279,y-combinator,UPchieve,https://www.upchieve.org,Education,2.4,0,G2,Живое обучение и репетиторы,Бесплатное живое 24/7 тьюторство для малоимущих школьников.
2333,y-combinator,Marathon Education,https://www.marathon.edu.vn,Education,2.2,0,G2,Живое обучение и репетиторы,Живые интерактивные тьюторские занятия K-12.
2343,y-combinator,Tutorspree,http://tutorspree.com,Education,1.4,0,G2,Живое обучение и репетиторы,Маркетплейс репетиторов (Wyzant).
1154,edu-capital,makers,https://makers.tech,Future of education,3.4,6,G3,"Карьера, трудоустройство и профориентация",Буткемп по программированию с фокусом на трудоустройство.
1286,learn-capital,General Assembly,https://generalassemb.ly/,education,3.6,6,G3,"Карьера, трудоустройство и профориентация",Иммерсивные программы под востребованные профессии (трудоустройство).
1312,learn-capital,Pathrise,https://www.pathrise.com/,education,5.8,6,G3,"Карьера, трудоустройство и профориентация","Карьерный коучинг, подготовка к интервью, job search (ISA)."
1513,new-schools,Pathlitics,https://pathlitics.com,Learning Differences,3.2,6,G3,"Карьера, трудоустройство и профориентация",Планирование путей после школы для студентов с ОВЗ (данные/карьера).
512,a16z,Formation,https://formation.dev,,5.0,5,G3,"Карьера, трудоустройство и профориентация",Remote fellowship для инженеров с целью карьерного шага.
1284,learn-capital,Extern,https://www.paragonone.com,education,3.0,5,G3,"Карьера, трудоустройство и профориентация",Короткие удалённые экстерншипы для карьерного исследования.
1785,reach-capital,PeopleGrove,https://www.peoplegrove.com/,Learning,3.8,5,G3,"Карьера, трудоустройство и профориентация",Менторинг и консультирование студентов (карьера/persistence).
2272,y-combinator,Jovian,https://www.jovian.com,Education,2.6,5,G3,"Карьера, трудоустройство и профориентация",Онлайн-университет SWE/data science для карьерного роста.
2293,y-combinator,Bloom Institute of Technology,https://www.bloomtech.com,Education,1.4,5,G3,"Карьера, трудоустройство и профориентация",CS-образование «бесплатно до трудоустройства» (ISA).
1427,new-schools,Gladeo Inc.,https://www.gladeo.org,Learning Differences,2.6,4,G3,"Карьера, трудоустройство и профориентация",Постшкольная готовность и career-development для студентов с IEP.
2257,y-combinator,Avocademy,http://www.Avocademy.com,Education,1.0,4,G3,"Карьера, трудоустройство и профориентация",Буткемп для смены карьеры в дизайн (трудоустройство).
1788,reach-capital,Realworld,https://www.realworld.co/,Learning,2.4,3,G3,"Карьера, трудоустройство и профориентация",Навигация по взрослой жизни и карьере (готовность к взрослению).
1146,edu-capital,prepacademy,https://www.prepacademy.fr,Future of education,2.0,0,G3,"Карьера, трудоустройство и профориентация",Онлайн-обучение под дефицитные профессии (трудоустройство).
1166,edu-capital,studentpop,https://www.studentpop.fr,Future of education,0.0,0,G3,"Карьера, трудоустройство и профориентация",Платформа студенческих подработок (занятость).
1200,gsv-ventures,Fairygodboss,https://fairygodboss.com/,Future of Talent@Work,0.0,0,G3,"Карьера, трудоустройство и профориентация",Сообщество отзывов о работодателях и карьерных советов.
1243,gsv-ventures,Tara,https://tara.ai/,Future of Talent@Work,0.0,0,G3,"Карьера, трудоустройство и профориентация",Talent Acquisition & Recruiting Automation / управление проектами.
1289,learn-capital,HireArt,https://www.hireart.com/,education,0.0,0,G3,"Карьера, трудоустройство и профориентация",Платформа найма и трудоустройства контрактных работников.
1290,learn-capital,Kalibrr,https://www.kalibrr.com/,education,0.0,0,G3,"Карьера, трудоустройство и профориентация",Платформа подбора вакансий и соискателей (найм).
1299,learn-capital,Mentor Collective,https://www.mentorcollective.org/,education,2.8,0,G3,"Карьера, трудоустройство и профориентация",Платформа подбора менторов для студентов (карьера/belonging).
1310,learn-capital,On Deck,https://www.beondeck.com/,education;community,0.0,0,G3,"Карьера, трудоустройство и профориентация",Феллоушипы и сообщество для предпринимателей (карьера).
1317,learn-capital,Scoutible,https://www.scoutible.com/,education;gaming,0.0,0,G3,"Карьера, трудоустройство и профориентация",Игровой AI для найма и психометрии кандидатов.
1610,new-schools,Uprooted Academy,https://www.uprootedacademy.org/,Learning Differences,2.4,0,G3,"Карьера, трудоустройство и профориентация",Постшкольное планирование для студентов с ОВЗ + тренинг консультантов.
1731,reach-capital,CommonTime Pathways,https://www.ctpathways.com/,Learning,0.0,0,G3,"Карьера, трудоустройство и профориентация",Рекрутинг креативщиков вузами + поиск стипендий (admissions).
1770,reach-capital,Major League Hacking,https://mlh.io/,Learning,0.0,0,G3,"Карьера, трудоустройство и профориентация",Связь работодателей с техническими талантами (хакатоны/наём).
1790,reach-capital,Riipen,https://riipen.com/,Learning,2.4,0,G3,"Карьера, трудоустройство и профориентация",Реальные проекты студентов с компаниями за зачёт (work-based).
2264,y-combinator,Stepful,https://www.stepful.com,Education,1.0,0,G3,"Карьера, трудоустройство и профориентация",Обучение + трудоустройство в healthcare за 4 месяца.
2298,y-combinator,Quero Education,http://querobolsa.com.br,Education,0.0,0,G3,"Карьера, трудоустройство и профориентация",Маркетплейс программ колледжей: поиск/сравнение/зачисление.
2303,y-combinator,Microverse,https://www.microverse.org,Education,3.4,0,G3,"Карьера, трудоустройство и профориентация",Обучение и связь талантов с глобальными вакансиями.
2305,y-combinator,Juno College of Technology,http://junocollege.com,Education,1.6,0,G3,"Карьера, трудоустройство и профориентация",Буткемп программирования («университет будущего»).
2315,y-combinator,Fullstack Academy,http://fullstackacademy.com,Education,3.0,0,G3,"Карьера, трудоустройство и профориентация",Буткемп веб-разработки (трудоустройство).
2318,y-combinator,FunctionUp (FanPlay),https://www.functionup.org/,Education,1.6,0,G3,"Карьера, трудоустройство и профориентация",Placement-буткемп по ISA-модели (трудоустройство).
2336,y-combinator,Mentorcam,https://mentor.cam/,Education,0.0,0,G3,"Карьера, трудоустройство и профориентация",Маркетплейс 1:1 бизнес- и карьерных консультаций.
1179,gsv-ventures,Begin,https://www.speakaboos.com/,Future of Talent in PreK-12,5.6,6,G4,"Контент, учебные программы и обучающие инструменты",Игровой контент раннего обучения чтению/языку (HOMER/Speakaboos).
1259,learn-capital,Amplify,https://amplify.com/,education,4.6,6,G4,"Контент, учебные программы и обучающие инструменты",Инструкционные программы по предметам + отслеживание прогресса.
1270,learn-capital,CodeHS,https://codehs.com/,education,2.6,6,G4,"Контент, учебные программы и обучающие инструменты",CS-учебная программа + инструменты учителя для школ.
1371,new-schools,Capti – Charmtech Labs LLC,http://www.captivoice.com,Learning Solutions,3.0,6,G4,"Контент, учебные программы и обучающие инструменты",Платформа грамотности и прототипирования reading-интервенций.
1590,new-schools,The Practice Space,https://www.practice-space.org,Learning Solutions,3.0,6,G4,"Контент, учебные программы и обучающие инструменты",Контент и curriculum по навыкам публичных выступлений.
2330,y-combinator,Leada,http://www.teamleada.com,Education,2.6,6,G4,"Контент, учебные программы и обучающие инструменты",Корпоративная программа обучения работе с данными (контент).
1342,new-schools,Acuarela Curriculum Cooperative,https://www.acuarelacurriculum.org/,Learning Solutions,1.2,5,G4,"Контент, учебные программы и обучающие инструменты",Культурно-устойчивые двуязычные междисциплинарные curricula.
1501,new-schools,OJI:SDA’ Sustainable Indigenous Futures,https://www.ojisda.org/,Learning Solutions,1.8,5,G4,"Контент, учебные программы и обучающие инструменты","Land-based коренные учебные модули, встроенные в предметы."
1562,new-schools,Talkido,https://talkido.co,Learning Solutions,5.6,5,G4,"Контент, учебные программы и обучающие инструменты",Безэкранная система языковой поддержки малышей — продукт.
1584,new-schools,"The Institute for Anti-Racist Education, Inc.",https://www.antiracisted.org/,Learning Solutions,3.4,5,G4,"Контент, учебные программы и обучающие инструменты",Анти-расистская curriculum + инструмент дизайна обучения.
1658,owl-ventures,Genially,https://genially.com/,Pre K-12,0.0,5,G4,"Контент, учебные программы и обучающие инструменты",Инструмент создания интерактивных презентаций и визуального контента.
1475,new-schools,Local Civics,https://www.localcivics.io/,Learning Solutions,3.2,3,G4,"Контент, учебные программы и обучающие инструменты",Проектная гражданская образовательная программа (civics).
1504,new-schools,Open Source Phonics,http://www.opensourcephonics.org,Learning Solutions,0.6,2,G4,"Контент, учебные программы и обучающие инструменты",Опубликованные уроки и дешифруемые истории по фонетике.
1508,new-schools,"Outline It, Inc.",https://www.halcyonhouse.org/venture/outline-it-inc/,Learning Solutions,0.8,2,G4,"Контент, учебные программы и обучающие инструменты",Платформа структурирования эссе — инструмент письма.
1434,new-schools,Hola Books,https://holabooks.com,Learning Solutions,0.6,1,G4,"Контент, учебные программы и обучающие инструменты",Издательство дешифруемых двуязычных книг для обучения чтению.
1153,edu-capital,lunii,https://lunii.com/fr-fr/,Future of education,2.0,0,G4,"Контент, учебные программы и обучающие инструменты",Безэкранный рассказчик историй для детей — физический продукт.
1208,gsv-ventures,Hellosaurus,https://www.hellosaurus.com/,PK-12,1.6,0,G4,"Контент, учебные программы и обучающие инструменты",Готовые творческие программы и видеозанятия для детей.
1291,learn-capital,Kibeam,https://kibeam.com/,education;community;gaming,4.0,0,G4,"Контент, учебные программы и обучающие инструменты",Безэкранное устройство интерактивного чтения бумажных книг.
1319,learn-capital,Sharpen,https://sharpen.com/,education;health,3.2,0,G4,"Контент, учебные программы и обучающие инструменты",Структурированная программа обучения чтению (родитель+ребёнок).
1335,learn-capital,Wonder Workshop,https://www.makewonder.com/,education,4.4,0,G4,"Контент, учебные программы и обучающие инструменты",Программируемые роботы + учебная программа — физический продукт.
1369,new-schools,California Indian Museum and Cultural Center,https://cimcc.org/education-center/,Learning Solutions,1.4,0,G4,"Контент, учебные программы и обучающие инструменты",Музей и культурные образовательные программы/экспозиции.
1466,new-schools,Lectores para el futuro,http://www.lectorespr.org,Learning Differences,1.8,0,G4,"Контент, учебные программы и обучающие инструменты",Доказательное обучение чтению и интервенции при трудностях.
1499,new-schools,Novel Education Partners,https://www.novelpartners.org,Learning Solutions,0.4,0,G4,"Контент, учебные программы и обучающие инструменты",Внедрение культурно-отзывчивых ELA-программ в школах.
1531,new-schools,RISE Child Development Center,https://www.risecdc.org/,Learning Solutions,1.2,0,G4,"Контент, учебные программы и обучающие инструменты",Игровая ECE-программа + PD-модули (учебная программа).
1551,new-schools,Springpoint,http://springpointschools.org,Learning Solutions,4.4,0,G4,"Контент, учебные программы и обучающие инструменты",Готовые проектные учебные программы (TLE) для старшей школы.
1568,new-schools,Teachley LLC,https://www.teachley.com,Learning Solutions,4.4,0,G4,"Контент, учебные программы и обучающие инструменты",Высокодозовая математическая программа для малых групп (игры+медиа).
1577,new-schools,The Calculus Project,https://thecalculusproject.org/,Learning Solutions,1.0,0,G4,"Контент, учебные программы и обучающие инструменты",Исследовательская программа повышения мат.успеваемости.
1626,new-schools,Young Data Scientists League,https://www.youngdatascientists.org/,Learning Solutions,5.0,0,G4,"Контент, учебные программы и обучающие инструменты",Учебная программа по data science и этике ИИ.
1666,owl-ventures,Jotit,https://www.jotit.io/,Pre K-12,0.6,0,G4,"Контент, учебные программы и обучающие инструменты",Гибридный аналогово-цифровой обучающий продукт.
1674,owl-ventures,Letrus,https://www.letrus.com/,Pre K-12,1.6,0,G4,"Контент, учебные программы и обучающие инструменты",Комплексная программа развития грамотности и языка.
1709,owl-ventures,Tinkergarten,https://www.tinkergarten.com/,Pre K-12,3.0,0,G4,"Контент, учебные программы и обучающие инструменты",Программа развития навыков через игры на улице — продукт.
1755,reach-capital,InquirED,https://www.inquired.org/,Learning,1.0,0,G4,"Контент, учебные программы и обучающие инструменты",Качественные готовые учебные материалы.
1766,reach-capital,Lovevery,https://lovevery.com/,Learning,3.0,0,G4,"Контент, учебные программы и обучающие инструменты",Поэтапные игровые наборы для развития ребёнка — физический продукт.
2258,y-combinator,Lingt,https://www.lingt.com/,Education,1.8,0,G4,"Контент, учебные программы и обучающие инструменты",Создание и управление устными заданиями (инструмент контента).
2314,y-combinator,Study Edge,http://studyedge.com,Education,0.6,0,G4,"Контент, учебные программы и обучающие инструменты",Производство и дистрибуция кастомного видеоконтента курсов.
1742,reach-capital,Ellevation,https://ellevationeducation.com/home/default,Learning,3.2,6,G5,"Управление, данные и финансы",Управление ELL-программами + инструменты (program management).
1794,reach-capital,Scout Edu,https://www.scoutforschools.com/,Learning,1.8,4,G5,"Управление, данные и финансы",AI-native студенческая информационная система (SIS).
2231,y-combinator,Panorama Education,https://www.panoramaed.com/,Education,1.6,4,G5,"Управление, данные и финансы",Аналитическая платформа успешности учащихся.
2321,y-combinator,Glimpse K12,http://www.glimpsek12.com/,Education,0.0,2,G5,"Управление, данные и финансы",Измерение education-ROI: расходы против успеваемости (аналитика).
1132,edu-capital,appscho,https://www.appscho.com/,Future of education,0.0,1,G5,"Управление, данные и финансы",Приложение для управления школой для учеников.
233,a16z-speedrun,Straia,https://straia.io,AI;Edtech;Enterprise SaaS,0.0,0,G5,"Управление, данные и финансы",Agentic AI-платформа для объединения данных и автоматизации процессов вузов.
1081,brighteye,Seven Education,https://www.7education.com/,Learning,1.4,0,G5,"Управление, данные и финансы",Операционная система для школ и детских садов (управление).
1182,gsv-ventures,CampusLogic,https://campuslogic.com/,Future of Talent in Post-Secondary,0.0,0,G5,"Управление, данные и финансы",SaaS студенческих финансовых услуг (financial aid).
1187,gsv-ventures,Clever,https://clever.com/,Future of Talent in PreK-12,1.0,0,G5,"Управление, данные и финансы",Платформа единого доступа и интеграции данных школьных приложений.
1203,gsv-ventures,Glimpse,https://www.glimpsek12.com/,Future of Talent in PreK-12,0.0,0,G5,"Управление, данные и финансы",Финансовая аналитика неэффективных расходов школ.
1211,gsv-ventures,Intellispark,https://intellispark.com/,K-12,0.0,0,G5,"Управление, данные и финансы",Аналитика данных «целостного развития ребёнка» с участием семьи.
1265,learn-capital,BrightBytes,https://www.google.com/,education,0.0,0,G5,"Управление, данные и финансы",Платформа данных и предиктивной аналитики для школ.
1269,learn-capital,Climb Credit,https://climbcredit.com/,education;finance,0.0,0,G5,"Управление, данные и финансы",Студенческие кредиты и финансирование обучения (EdFinance).
1292,learn-capital,Landed,https://www.landed.com/,community;finance;education,0.0,0,G5,"Управление, данные и финансы",Финансовая поддержка и коучинг покупки жилья для педагогов.
1294,learn-capital,Learning Machine,https://www.hyland.com/en/solutions/products/hyland-credentials,education,0.0,0,G5,"Управление, данные и финансы",Блокчейн-выпуск верифицируемых дипломов и сертификатов (инфраструктура).
1600,new-schools,Timely Schools,https://www.timelyschools.com,Teaching Reimagined,0.0,0,G5,"Управление, данные и финансы",AI-оптимизация составления школьного расписания.
1629,owl-ventures,Abl,https://www.ablschools.com/,Pre K-12,0.0,0,G5,"Управление, данные и финансы",Анализ школьного расписания для системных улучшений.
1634,owl-ventures,Authentica,https://authenticasolutions.com/,Pre K-12;Post-Secondary,0.0,0,G5,"Управление, данные и финансы",Education Cloud / intelligence management — данные и инфраструктура.
1661,owl-ventures,Honorlock,https://honorlock.com/,Post-Secondary,0.0,0,G5,"Управление, данные и финансы",Онлайн-прокторинг и контроль честности экзаменов.
1668,owl-ventures,Kuali,https://www.kuali.co/,Post-Secondary,0.0,0,G5,"Управление, данные и финансы","Административное ПО для вузов (финансы, сервисы)."
1671,owl-ventures,LeapFinance,https://leapfinance.com/,Post-Secondary,0.0,0,G5,"Управление, данные и финансы",Доступ к глобальному образованию + финансирование (EdFinance).
1691,owl-ventures,RaiseME,https://www.raise.me/,Pre K-12,0.0,0,G5,"Управление, данные и финансы",Микро-стипендии и доступ к financial aid (EdFinance).
1705,owl-ventures,Swing,https://swingeducation.com/,Pre K-12,0.0,0,G5,"Управление, данные и финансы",Подбор запасных учителей — школьный staffing.
1730,reach-capital,Cometa,https://www.getcometa.com/,Learning,0.0,0,G5,"Управление, данные и финансы",Операционная система для частных школ (управление).
1736,reach-capital,Doorman,https://doorman.school/,Learning,0.0,0,G5,"Управление, данные и финансы",Блокировка отвлекающих приложений и мониторинг в классе.
1740,reach-capital,Ednition,https://www.ednition.com/,Learning,0.0,0,G5,"Управление, данные и финансы",Ростеринг и интеграция данных для edtech-компаний (инфраструктура).
1748,reach-capital,GPTZero,https://gptzero.me/,Learning,0.0,0,G5,"Управление, данные и финансы",Платформа AI-детекции и ответственного внедрения ИИ (целостность).
1791,reach-capital,SchoolMint,https://www.schoolmint.com/,Learning,0.0,0,G5,"Управление, данные и финансы",Решение для зачисления учащихся и school choice (админ).
1796,reach-capital,SmartPass,https://www.smartpass.app/,Learning,0.0,0,G5,"Управление, данные и финансы",Цифровой школьный пропуск (операции/безопасность).
1805,reach-capital,TeachFX,https://teachfx.com/,Learning,4.0,0,G5,"Управление, данные и финансы",Аналитика диалога в классе с обратной связью учителю.
2227,y-combinator,GiveCampus,http://go.givecampus.com,Education,0.0,0,G5,"Управление, данные и финансы",Платформа фандрайзинга для образовательных учреждений.
2233,y-combinator,Risely AI,https://www.risely.ai/,Education,0.0,0,G5,"Управление, данные и финансы",AI-агенты как ОС вузов (retention/productivity) — админ/инфраструктура.
2292,y-combinator,Nimble,http://www.hirenimble.com,Education,0.0,0,G5,"Управление, данные и финансы",Предиктивный ATS для найма учителей — школьный HR.
2307,y-combinator,Schoolable,http://schoolable.co,Education,0.0,0,G5,"Управление, данные и финансы",Финтех оплаты школьных взносов с рассрочкой (EdFinance).
2328,y-combinator,LendEDU,https://lendedu.com,Education,0.0,0,G5,"Управление, данные и финансы",Сайт сравнения финансовых продуктов (студ. кредиты).
1746,reach-capital,EveryDay Labs,https://www.everydaylabs.com/,Learning,2.0,6,G6,"Поддержка участников (семья, благополучие, педагоги, сообщество)",Снижение пропусков через поведенческую науку и рассылки семье.
1416,new-schools,Family Engagement Lab,http://www.familyengagementlab.org/,Learning Solutions,2.4,5,G6,"Поддержка участников (семья, благополучие, педагоги, сообщество)",Цифровые продукты для вовлечения семьи.
1442,new-schools,Indigitize,https://www.indigitize.org/,Teaching Reimagined,1.8,5,G6,"Поддержка участников (семья, благополучие, педагоги, сообщество)",Развитие цифровой грамотности у коренных сообществ.
