id,fund,name,slug,fund_url,sectors,website,description,stage,stage_year,founded_year,invested_year,logo_url,source_modified,ticker_symbol,acquirer,founders,pmo_score,pmo_traj,pmo_mat,pmo_collab,pmo_game,pmo_feedback,pmo_notes
840,a16z,Reforge,reforge,https://a16z.com/announcement/investing-in-reforge/,,https://www.reforge.com,"Reforge helps a company grow through initiatives for product and expansion. They provide programs that enable step-change career progress through pertinent cases, experiences, and a group of peers tackling comparable problems.",Venture,,,,https://d1lamhf6l6yk6d.cloudfront.net/uploads/2023/09/logo_0018000001Ss1sL-20230418020542.svg,,,,Brian Balfour,3.2,3,2,8,1,2,"Reforge предлагает программы профессионального развития с акцентом на коллаборативное обучение, но с ограниченной персонализацией траектории и материалов."
1013,a16z,Udacity,udacity,https://a16z.com/announcement/udacity/,,https://www.udacity.com/,"Our mission is to bring accessible higher education to the world. We seek to empower our students to develop their skills through learning by doing and to advance their education and careers. We believe that higher education is a basic human right, and it should be available to everyone, everywhere, and any time. And we strive to develop education that is fun, engaging, and effective.",M&A,,,,https://d1lamhf6l6yk6d.cloudfront.net/uploads/2024/10/logo_0018000000wmyvi-20230418013538.svg,,,Accenture,Sebastian Thrun;David Stavens;Mike Sokolsky,3.8,2,4,6,2,5,"Udacity предлагает фиксированные программы с небольшими возможностями выбора контента и социальными функциями, но без персонализации траектории и геймификации."
1080,brighteye,Hack The Box,hack-the-box,https://www.brighteyevc.com/portfolio,Work,https://www.hackthebox.com/,"The leading gamified cybersecurity upskilling, certification, and talent assessment platform.",,,,,https://cdn.prod.website-files.com/6924982cd85cbab57fe65dd1/695ed68a7501b82396549d1a_hackthebox_logo_white.avif,,,,,6.6,8,5,7,10,3,"Платформа успешно геймифицирует обучение и даёт свободу выбора, но практически не адаптирует контент под ученика и предоставляет лишь базовую обратную связь."
1081,brighteye,Seven Education,seven-education,https://www.brighteyevc.com/portfolio,Learning,https://www.7education.com/,The operating system for schools & nurseries,,,,,https://cdn.prod.website-files.com/6924982cd85cbab57fe65dd1/69ca952f31d8043b6eb633e8_seven_education.avif,,,,,1.4,1,1,3,0,2,"Продукт позиционируется как операционная система для школ, сосредоточенная на административных задачах, без явных механизмов персонализации обучения, что объясняет минимальные оценки по всем инструментам PMO."
1082,brighteye,Ornikar,ornikar,https://www.brighteyevc.com/portfolio,Learning,https://www.ornikar.com/,"The all-in-one platform for learning to drive, finding instructors and getting insured.",,,,,https://cdn.prod.website-files.com/6924982cd85cbab57fe65dd1/695eb47a1d10b4e3d9113eaf_ornikar_logo_white.avif,,,,,4.8,4,4,5,6,5,"Платформа для обучения вождению предлагает некоторую персонализацию и геймификацию, но учебная траектория и материалы остаются в основном стандартизированными."
1091,brighteye,Tandem,tandem,https://www.brighteyevc.com/portfolio,,https://www.tandem.net,,,,,,https://cdn.prod.website-files.com/6924982cd85cbab57fe65dd1/695eb80bd3fc3175cff0a117_tandem_logo_white.avif,,,,,6.8,9,4,10,5,6,"Tandem — это приложение для языкового обмена, где персонализированная траектория и совместная деятельность являются ключевыми, но учебные материалы и геймификация развиты слабо."
1131,edu-capital,360learning,360learning,https://www.educapitalvc.com/portfolio,Future of work,https://360learning.com,Collaborative LMS,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/65d72ac8c5b4695a3d4cdd07_360_logo.png,,,,,5.0,5,4,9,3,4,"360learning — это LMS с сильным акцентом на совместное обучение, однако персонализация траекторий и адаптивные материалы выражены слабо, а обратная связь преимущественно социальная, не автоматизированная."
1132,edu-capital,appscho,appscho,https://www.educapitalvc.com/portfolio,Future of education,https://www.appscho.com/,Application for school management for students,Acquired,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/647077b29be7214cf9b47e2f_Appscho_.png,,,,,0.0,0,0,0,0,0,"Продукт не является образовательным, это приложение для управления школой, а не для обучения, поэтому не соответствует модели ПМО."
1133,edu-capital,buddy,buddy,https://www.educapitalvc.com/portfolio,Future of education,https://buddy.ai/fr/,AI-based language tutor for children,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/672a40aa344dc01f8f7d80fd_FOTO-WEB-BUDDY-INGLES-2.jpg,,,,,5.2,5,6,2,5,8,"AI-репетитор языка для детей, вероятно, адаптирует контент и даёт обратную связь, но совместные и игровые элементы неочевидны из описания."
1135,edu-capital,codary,codary,https://www.educapitalvc.com/portfolio,Future of education,https://codary.org,Online coding for children,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/64707740a61024d9b3fca741_Complori_V2.png,,,,,4.2,5,4,2,5,5,"codary — это онлайн-платформа для обучения детей программированию; без подробной информации предполагаются базовые геймификация и обратная связь, но адаптивность и персонализация, скорее всего, ограничены."
1137,edu-capital,digischool,digischool,https://www.educapitalvc.com/portfolio,Future of education,https://www.digischool.fr,Educational apps for K12 and Higher Ed,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/647073ce9be7214cf9b0b019_DigischoolV2.png,,,,,2.2,2,2,2,2,3,"Продукт позиционируется как образовательные приложения, но описание не раскрывает механизмов персонализации, адаптивности или социального обучения, поэтому все инструменты PMO оценены минимально."
1138,edu-capital,edflex,edflex,https://www.educapitalvc.com/portfolio,Future of work,https://www.edflex.com,Content curation platform for corporate training,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/66fa9c384fa1c54015676145_logo%20edflex.svg,,,,,3.2,4,5,2,3,2,"Платформа для корпоративного обучения с курированием контента, но без явных признаков глубокой персонализации траектории или адаптивных материалов."
1139,edu-capital,opendigitaleducation,opendigitaleducation,https://www.educapitalvc.com/portfolio,Future of education,https://opendigitaleducation.com/index.php?lang=fr,The social network for schools,Acquired,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/649c626e1dcf2a29a3751159_ODE%20DEVIENT%20EDIFICE%202.png,,,,,4.4,2,3,9,5,3,"Социальная сеть для школ делает акцент на совместной деятельности, но не обеспечивает персонализированную траекторию обучения."
1140,edu-capital,emma,emma,https://www.educapitalvc.com/portfolio,Future of education,https://apps.apple.com/fr/app/emma-parler-anglais/id6737470910,Conversational AI for language learning,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/6940005565c084460918d2e2_Capture%20d%E2%80%99e%CC%81cran%202025-12-15%20a%CC%80%2013.34.07.png,,,,,5.6,6,9,2,2,9,"Продукт использует разговорный ИИ для изучения языков, что обеспечивает высокую адаптацию материалов и мгновенную обратную связь, но отсутствуют социальное взаимодействие и геймификация."
1141,edu-capital,engageli,engageli,https://www.educapitalvc.com/portfolio,Future of education,https://www.engageli.com,The “Zoom” for education,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/647078250076accc99069171_Engageli_%202.png,,,,,2.4,1,1,7,1,2,"Платформа для видеоконференций в образовании обеспечивает высокий уровень совместной деятельности, но не предоставляет персонализацию траектории, адаптивность материалов, геймификацию или автоматизированную обратную связь."
1142,edu-capital,evidenceb,evidenceb,https://www.educapitalvc.com/portfolio,Future of education,https://evidenceb.fr,Adaptive learning platform for K12,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/647074e76b25b30b3bb95f61_EvidenceB_B2.png,,,,,4.8,3,9,1,3,8,"Адаптивная обучающая платформа для школьников с высокой персонализацией материалов и обратной связью, но отсутствием элементов совместной деятельности и ограниченной траекторией."
1143,edu-capital,femaleinvest,femaleinvest,https://www.educapitalvc.com/portfolio,Future of education,https://www.femaleinvest.com,Financial education for women,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/640082e5ce03bf6283cf09b9_female%20invest.png,,,,,1.4,1,2,1,1,2,"Продукт представляет собой базовое финансовое образование для женщин без детализации персонализированной траектории, адаптивных материалов или интерактивных элементов, поэтому оценки низкие."
1144,edu-capital,fourthrev,fourthrev,https://www.educapitalvc.com/portfolio,Future of education,https://fourthrev.com,Online courses by tech companies and uni,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/66fa9d501d0bf8d4616a5ac8_fourth%20rev.webp,,,,,3.8,5,2,5,4,3,"Платформа представляет собой каталог онлайн-курсов без выраженной персонализации, адаптивности или геймификации обучения."
1146,edu-capital,prepacademy,prepacademy,https://www.educapitalvc.com/portfolio,Future of education,https://www.prepacademy.fr,Online training for jobs facing talent shortage,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/66e2f24df54bfde447f1fe9d_hupso1.png,,,,,2.0,2,2,1,2,3,"Продукт представляет собой онлайн-обучение для востребованных профессий, но не демонстрирует признаков персонализации траектории, адаптивных материалов, совместной деятельности, геймификации или продвинутой обратной связи, поэтому оценки низкие по всем инструментам."
1148,edu-capital,knowunity,knowunity,https://www.educapitalvc.com/portfolio,Future of education,https://knowunity.co.uk,AI learning companion,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/64707985a93d52282e9b98de_Knowunity%202.png,,,,,7.2,8,9,5,4,10,"Knowunity позиционируется как AI-тьютор с высокой адаптивностью материалов и обратной связью, однако детали по геймификации и совместной деятельности не раскрыты."
1149,edu-capital,labster,labster,https://www.educapitalvc.com/portfolio,Future of education,https://www.labster.com/,Immersive platform for science learning,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/63feac5049df0bb8d9eb3feb_Labster.png,,,,,5.8,5,6,2,8,8,"Платформа предоставляет иммерсивные симуляции с геймификацией и персонализированной обратной связью, но слабо развиты социальное взаимодействие и индивидуальные образовательные траектории."
1150,edu-capital,lalilo,lalilo,https://www.educapitalvc.com/portfolio,Future of education,https://lalilo.com,AI to teach children to read,Acquired,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/64708388a558edee241824b4_lalilo_V2.png,,,,,6.6,8,9,1,6,9,"ИИ-продукт для обучения чтению детей: адаптивная траектория и материалы, но без совместной деятельности; геймификация возможна, но не ключевая."
1151,edu-capital,lepaya,lepaya,https://www.educapitalvc.com/portfolio,Future of work,https://www.lepaya.com/fr/,B2B Upskilling platform,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/650db7620e8e31e1f8dacf4d_vobwoqf2mb50sdofitzw.webp,,,,,7.6,7,8,7,7,9,"Платформа B2B-апскиллинга с персонализированными траекториями, адаптивным контентом, геймификацией и AI-обратной связью."
1152,edu-capital,livementor,livementor,https://www.educapitalvc.com/portfolio,Future of education,https://www.livementor.com,Online school for entrepreneurship,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/63feac896923915bc20c0717_Livementor.png,,,,,4.6,5,4,6,3,5,"Онлайн-школа предпринимательства с частичной персонализацией через выбор курсов и наставничество, но в целом фиксированная программа и слабая адаптивность материалов."
1153,edu-capital,lunii,lunii,https://www.educapitalvc.com/portfolio,Future of education,https://lunii.com/fr-fr/,Screen-free story teller for children,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/64707c4de005606711efc9e7_Lunii_V2.png,,,,,2.0,4,5,0,1,0,"Продукт предлагает некоторую адаптацию контента через выбор элементов истории, но не имеет социальных, геймификационных или оценочных инструментов для обучения."
1154,edu-capital,makers,makers,https://www.educapitalvc.com/portfolio,Future of education,https://makers.tech,Code learning bootcamp,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/64707c7c5fcdb6b4d0e1c5ac_Makers_V2.png,,,,,3.4,2,2,7,3,3,"Код-буткемп с фиксированным учебным планом, но с активной совместной работой и базовой обратной связью."
1156,edu-capital,mentorshow,mentorshow,https://www.educapitalvc.com/portfolio,Future of education,https://mentorshow.com,Online courses by celebrity mentors,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/63feac087891d5c6206a4238_Mentor%20Show.png,,,,,0.0,0,0,0,0,0,"Платформа с фиксированными курсами от знаменитостей без персонализации, адаптации, сотрудничества, геймификации и обратной связи — классический пример традиционного онлайн-обучения, не вписывающийся в модель ПМО."
1158,edu-capital,muchbetter,muchbetter,https://www.educapitalvc.com/portfolio,Future of work,https://muchbetter.ai/fr,Customer-facing training with simulations,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/69301d73bc977131d26f7328_Capture%20d%E2%80%99e%CC%81cran%202025-12-03%20a%CC%80%2012.21.54.png,,,,,5.0,5,7,1,4,8,"Продукт для обучения на основе симуляций, что обеспечивает адаптивность материалов и обратную связь, но с ограниченной персонализацией траектории и без совместной деятельности."
1159,edu-capital,myedspace,myedspace,https://www.educapitalvc.com/portfolio,Future of education,https://myedspace.co.uk/,1-to-Many tutoring via live sessions,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/6682c5a1a7a6647314d95d5e_Design%20sans%20titre-2.png,,,,,2.0,2,2,3,1,2,"Продукт представляет собой групповые живые занятия с тьютором без выраженных элементов персонализации траектории, адаптивных материалов или геймификации; обратная связь ограничена ручным форматом."
1160,edu-capital,nolej,nolej,https://www.educapitalvc.com/portfolio,Future of education,https://nolej.io/,AI toolbox for teachers,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/679a1fd64f49ca437eb7b974_logo_nolej_800x800.jpg,,,,,1.6,1,3,0,1,3,"Nolej — ИИ-инструмент для учителей, который автоматически создаёт интерактивные учебные материалы, но не предоставляет персонализированных траекторий обучения, совместной деятельности или геймификации."
1161,edu-capital,oclock,oclock,https://www.educapitalvc.com/portfolio,Future of education,https://oclock.io,Online coding school,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/65d728fee853114535985790_Logo%20Dark%20HD%20(1).png,,,,,4.0,2,4,3,5,6,"Типичная онлайн-школа кодинга с фиксированной программой, базовыми материалами, минимальной социальной составляющей, элементами геймификации и автоматической обратной связью."
1162,edu-capital,powerz,powerz,https://www.educapitalvc.com/portfolio,Future of education,https://powerz.tech/fr-fr/,Fortnite for education,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/65d72897e29da4211b5e6059_powerz_big_orange%20(1).png,,,,,6.8,6,5,7,9,7,"Продукт позиционируется как «Fortnite для образования», где геймификация и совместная игра являются основой, но персонализация траектории и адаптивность материалов выражены слабее."
1163,edu-capital,preply,preply,https://www.educapitalvc.com/portfolio,Future of education,https://preply.com,Tutoring marketplace for languages,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/65d72491c770bb14e623f96f_Preply.jpeg,,,,,3.4,4,2,4,5,2,"Preply — это маркетплейс репетиторов, где персонализация и обратная связь зависят от преподавателей, а автоматизированные образовательные инструменты почти отсутствуют, поэтому оценки по модели PMO невысокие."
1165,edu-capital,web,web,https://www.educapitalvc.com/portfolio,Future of education,https://web.szl.ai/,AI tutor for students,Acquired,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/679a2518f886592359d31ca3_Capture_d_e%CC%81cran_2025-01-29_a%CC%80_13.53.44-removebg-preview.png,,,,,5.4,7,8,1,2,9,"Продукт представляет собой ИИ-репетитора с персонализированной траекторией, адаптивными материалами и обратной связью, но без элементов совместной деятельности и геймификации."
1166,edu-capital,studentpop,studentpop,https://www.educapitalvc.com/portfolio,Future of education,https://www.studentpop.fr,Student jobbing platform,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/65d724d2072bac061e707b01_student%20pop%20logo.jpeg,,,,,0.0,0,0,0,0,0,"Платформа для поиска работы студентами не является образовательным продуктом, поэтому модель PMO не применима."
1168,edu-capital,tomorrow,tomorrow,https://www.educapitalvc.com/portfolio,Future of education,https://www.tomorrow.university,Online University,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/6470851e7d120de0b9f3b70d_Tomorrow%20University.png,,,,,2.2,2,1,3,2,3,"Продукт представляет собой онлайн-университет без информации о персонализированных траекториях или адаптивных материалах, поэтому все инструменты PMO оценены минимально."
1169,edu-capital,vocal,vocal,https://www.educapitalvc.com/portfolio,Future of education,https://apps.apple.com/fr/app/vocal-image-coach-vocal-ia/id1535324205,Mobile AI coach for communication,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/6940021ecbd37d3b81d356db_Capture%20d%E2%80%99e%CC%81cran%202025-12-15%20a%CC%80%2013.40.51.png,,,,,6.4,7,8,2,5,10,"Продукт является образовательным ИИ-коучем по коммуникациям с адаптивной траекторией и материалами, но без совместной деятельности."
1170,edu-capital,wecandoo,wecandoo,https://www.educapitalvc.com/portfolio,Future of education,https://wecandoo.fr,Marketplace for craftship workshops,,,,,https://cdn.prod.website-files.com/63d0f27ecbdecd6f9b9827d1/6470837b6194e83c48c83a07_WeCanDoo_V2.png,,,,,1.2,2,1,2,0,1,"Маркетплейс для мастер-классов по ремеслам, практически не использующий персонализацию, адаптивные материалы, геймификацию или автоматизированную обратную связь в процессе обучения."
1172,gsv-ventures,Abwaab,abwaab,https://gsv.ventures/portfolio/,Pre-K-12,https://abwaab.me/en,"Abwaab is an online learning platform that allows students to learn at their own pace, test themselves, and get ahead with our expert tutors anytime and anywhere. Abwaab offers short, engaging video lessons, visualized learning journeys, continuous assessment, and performance analytics.",Seed,,2019.0,2020.0,https://gsv.ventures/wp-content/uploads/2020/10/gsvventures-portfolio-abwaab-logo-small.png,,,,Hamdi Tabbaa;Hussein Al-Sarabi;Sabri Hakim,4.2,6,3,2,4,6,"Платформа ориентирована на самостоятельное обучение с базовой персонализацией траектории и обратной связи, но имеет ограниченную адаптивность контента и практически отсутствующую коллаборацию."
1176,gsv-ventures,Andela,andela,https://gsv.ventures/portfolio/,Future of Talent@Work,https://andela.com/,"In the next ten years, there will be 1.3M software development jobs created and only 400,000 domestic computer science graduates to fill them. Africa, meanwhile, is home to the largest untapped talent pool and seven of the 10 fastest growing internet populations in the world.",Seed,,2014.0,2014.0,https://gsv.ventures/wp-content/uploads/2020/11/andela-logo.png,,,,Jeremy Johnson;CEO & Co-Founder; Christina Sass;COO & Co-Founder,4.2,1,3,7,3,7,"Andela предоставляет интенсивное обучение разработке ПО с сильным менторством и коллаборацией, но с фиксированной траекторией и ограниченной адаптивностью материалов."
1179,gsv-ventures,Begin,begin,https://gsv.ventures/portfolio/,Future of Talent in PreK-12,https://www.speakaboos.com/,"BEGiN, the parent company of the Speakaboos and Homer early childhood literacy and language learning program, is on a mission to provide children the best educational start possible. The platform produces the industry’s highest engagement by combining two award-winning programs supporting “Love to Read” and “Learn to Read, and is the only company with two top 10 subscription services in the Kids and Education categories in the App Store and Google Play.",Series B,,2009.0,2014.0,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-begin-logo.png,,,,Neal Shenoy;Co-Founder & COO; Noelle Millholt,5.6,5,8,1,7,7,"Продукт ориентирован на персонализированное обучение чтению с адаптивным контентом и геймификацией, но не предлагает значимой совместной деятельности и ограничен в возможностях самостоятельного построения образовательной траектории."
1180,gsv-ventures,Bookclub,bookclub,https://gsv.ventures/portfolio/,Adult Consumer Learning,https://www.bookclub.com/,Bookclub enables life changing conversations through virtual book clubs led by the authors themselves.,Seed,,2020.0,2020.0,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-bookclub-logo.png,,,,David Blake & Eric Sharp,0.0,0,0,0,0,0,"Продукт не является образовательным; это платформа для виртуальных книжных клубов, а не для целенаправленного обучения."
1181,gsv-ventures,BrightChamps,brightchamps,https://gsv.ventures/portfolio/,,https://brightchamps.com/,BrightChamps offers live one-on-one courses in technological skills for kids in grades 1 – 12. The startup provides courses on coding and mathematical thinking. BrightChamp’s vision is to ensure that its young students are prepared for what the future holds.,Seed,,,,https://gsv.ventures/wp-content/uploads/2021/11/gsvventures-portfolio-brightchamps-logo.png,,,,Ravi Bhushan;Founder & CEO,5.2,5,5,5,2,9,"Курсы с преподавателем дают персонализированную обратную связь, но не позволяют ученику строить собственную траекторию, материалы слабо адаптивны, а геймификация отсутствует."
1182,gsv-ventures,CampusLogic,campuslogic,https://gsv.ventures/portfolio/,Future of Talent in Post-Secondary,https://campuslogic.com/,"CampusLogic transforms the way higher education delivers student financial services with a self-service SaaS platform for students, staff, and schools. CampusLogic’s innovative software means more students can access aid—and the education it pays for, make better decisions that reduce borrowing, and easily navigate student finance with less staff burden and cost. Today, 450+ colleges and universities serving 3 million students are on the platform, including ASU, Arizona, Georgia, Colorado State, Western Governors, and Morehouse.",Seed,,2011.0,2015.0,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-campuslogic-logo.png,,,,Gregg Scoresby,0.0,0,0,0,0,0,"Продукт не является образовательным; это SaaS-платформа для финансовых услуг студентам, не предназначенная для обучения."
