id,fund,name,sectors,website,description,stage,stage_year,founded_year,invested_year,pmo_score,pmo_traj,pmo_mat,pmo_collab,pmo_game,pmo_feedback,pmo_notes,assigned_agent,agent_sredstvo,agent_status,relevance,rationale
1144,edu-capital,fourthrev,Future of education,https://fourthrev.com,Online courses by tech companies and uni,,,,,3.8,5,2,5,4,3,"Платформа представляет собой каталог онлайн-курсов без выраженной персонализации, адаптивности или геймификации обучения.",unmatched,,,0,"Стартап представляет собой платформу онлайн-курсов, а не ИИ-агента для персонализированного обучения."
1146,edu-capital,prepacademy,Future of education,https://www.prepacademy.fr,Online training for jobs facing talent shortage,,,,,2.0,2,2,1,2,3,"Продукт представляет собой онлайн-обучение для востребованных профессий, но не демонстрирует признаков персонализации траектории, адаптивных материалов, совместной деятельности, геймификации или продвинутой обратной связи, поэтому оценки низкие по всем инструментам.",unmatched,,,0,"Стартап по онлайн-обучению конкретным профессиям не соответствует ни одному агенту платформы, ориентированной на персонализацию и поддержку школьного/академического образования."
1148,edu-capital,knowunity,Future of education,https://knowunity.co.uk,AI learning companion,,,,,7.2,8,9,5,4,10,"Knowunity позиционируется как AI-тьютор с высокой адаптивностью материалов и обратной связью, однако детали по геймификации и совместной деятельности не раскрыты.",ИИ-помощник,Персонализированная траектория,Протестировать,9,"Стартап описывается как ИИ-компаньон для обучения, что напрямую соответствует функционалу ИИ-помощника, отвечающего на вопросы учеников по учебному материалу."
1149,edu-capital,labster,Future of education,https://www.labster.com/,Immersive platform for science learning,,,,,5.8,5,6,2,8,8,"Платформа предоставляет иммерсивные симуляции с геймификацией и персонализированной обратной связью, но слабо развиты социальное взаимодействие и индивидуальные образовательные траектории.",Игровой учебный контент,Учебные материалы,Протестировать,7,"Платформа Labster предоставляет иммерсивные виртуальные лаборатории, что соответствует агенту «Игровой учебный контент», который создаёт учебные материалы в игровом формате для повышения вовлечённости."
1150,edu-capital,lalilo,Future of education,https://lalilo.com,AI to teach children to read,Acquired,,,,6.6,8,9,1,6,9,"ИИ-продукт для обучения чтению детей: адаптивная траектория и материалы, но без совместной деятельности; геймификация возможна, но не ключевая.",ИИ-агент генерации траектории,Персонализированная траектория,Протестировать,9,"Стартап использует AI для создания персонализированного адаптивного плана обучения чтению, что соответствует функционалу агента генерации траектории."
1151,edu-capital,lepaya,Future of work,https://www.lepaya.com/fr/,B2B Upskilling platform,,,,,7.6,7,8,7,7,9,"Платформа B2B-апскиллинга с персонализированными траекториями, адаптивным контентом, геймификацией и AI-обратной связью.",ИИ-агент генерации траектории,Персонализированная траектория,Протестировать,7,"Агент генерации персонализированной траектории наиболее близок к сути B2B-платформы upskilling, формирующей индивидуальный план обучения, хотя платформа охватывает более широкий функционал."
1152,edu-capital,livementor,Future of education,https://www.livementor.com,Online school for entrepreneurship,,,,,4.6,5,4,6,3,5,"Онлайн-школа предпринимательства с частичной персонализацией через выбор курсов и наставничество, но в целом фиксированная программа и слабая адаптивность материалов.",Целеполагание группы,Совместная деятельность и общение,В разработке,7,"Стартап — онлайн-школа предпринимательства, где групповая работа над проектами является ключевым элементом, поэтому агент целеполагания группы наиболее соответствует его сути."
1153,edu-capital,lunii,Future of education,https://lunii.com/fr-fr/,Screen-free story teller for children,,,,,2.0,4,5,0,1,0,"Продукт предлагает некоторую адаптацию контента через выбор элементов истории, но не имеет социальных, геймификационных или оценочных инструментов для обучения.",unmatched,,,0,"Стартап — безэкранный рассказчик историй для детей, не имеющий аналогов среди ИИ-агентов, ориентированных на генерацию, оценивание или организацию учебного процесса."
1154,edu-capital,makers,Future of education,https://makers.tech,Code learning bootcamp,,,,,3.4,2,2,7,3,3,"Код-буткемп с фиксированным учебным планом, но с активной совместной работой и базовой обратной связью.",unmatched,,,6,"Стартап представляет собой буткемп по программированию с акцентом на групповую работу, что наиболее близко к агенту 'Пространство для работы в группе', предоставляющему виртуальное рабочее пространство для группового взаимодействия."
1156,edu-capital,mentorshow,Future of education,https://mentorshow.com,Online courses by celebrity mentors,,,,,0.0,0,0,0,0,0,"Платформа с фиксированными курсами от знаменитостей без персонализации, адаптации, сотрудничества, геймификации и обратной связи — классический пример традиционного онлайн-обучения, не вписывающийся в модель ПМО.",unmatched,,,0,"Стартап предоставляет онлайн-курсы от знаменитых менторов (людей), что не соответствует ни одному ИИ-агенту каталога ПМО, где все решения являются автоматизированными инструментами для персонализации, генерации контента или совместной работы."
1158,edu-capital,muchbetter,Future of work,https://muchbetter.ai/fr,Customer-facing training with simulations,,,,,5.0,5,7,1,4,8,"Продукт для обучения на основе симуляций, что обеспечивает адаптивность материалов и обратную связь, но с ограниченной персонализацией траектории и без совместной деятельности.",Игровой учебный контент,Учебные материалы,Протестировать,7,"Стартап предлагает обучение через симуляции, что ближе всего к генерации игрового учебного контента (агент 20), который создает интерактивные учебные модули с игровыми механиками."
1159,edu-capital,myedspace,Future of education,https://myedspace.co.uk/,1-to-Many tutoring via live sessions,,,,,2.0,2,2,3,1,2,"Продукт представляет собой групповые живые занятия с тьютором без выраженных элементов персонализации траектории, адаптивных материалов или геймификации; обратная связь ограничена ручным форматом.",Видео сервис,Совместная деятельность и общение,Протестировать,8,"Стартап представляет формат живых учебных сессий 'один-ко-многим', что напрямую соотносится с агентом видеосервиса для проведения онлайн-занятий и групповой работы."
1160,edu-capital,nolej,Future of education,https://nolej.io/,AI toolbox for teachers,,,,,1.6,1,3,0,1,3,"Nolej — ИИ-инструмент для учителей, который автоматически создаёт интерактивные учебные материалы, но не предоставляет персонализированных траекторий обучения, совместной деятельности или геймификации.",ИИ-генератор контента,Учебные материалы,Протестировать,7,"Стартап Nolej представляет собой AI-инструментарий для учителей, ориентированный на генерацию учебных материалов, что наиболее близко агенту 12 «ИИ-генератор контента»."
1161,edu-capital,oclock,Future of education,https://oclock.io,Online coding school,,,,,4.0,2,4,3,5,6,"Типичная онлайн-школа кодинга с фиксированной программой, базовыми материалами, минимальной социальной составляющей, элементами геймификации и автоматической обратной связью.",ИИ-агент формирующей обратной связи,Обратная связь,В разработке,9,"Онлайн-школа программирования нуждается в автоматизированной обратной связи по коду с конкретными рекомендациями, что соответствует агенту формирующей обратной связи."
1162,edu-capital,powerz,Future of education,https://powerz.tech/fr-fr/,Fortnite for education,,,,,6.8,6,5,7,9,7,"Продукт позиционируется как «Fortnite для образования», где геймификация и совместная игра являются основой, но персонализация траектории и адаптивность материалов выражены слабее.","Миссии, челленджи, соревнования",Геймификация и визуализация,В разработке,9,"Агент 'Миссии, челленджи, соревнования' (37) наиболее близок: стартап обещает игровую платформу, где через соревновательные и командные механики ученики осваивают материал, что соответствует созданию миссий, челленджей и соревнований."
1163,edu-capital,preply,Future of education,https://preply.com,Tutoring marketplace for languages,,,,,3.4,4,2,4,5,2,"Preply — это маркетплейс репетиторов, где персонализация и обратная связь зависят от преподавателей, а автоматизированные образовательные инструменты почти отсутствуют, поэтому оценки по модели PMO невысокие.",unmatched,,,0,"Preply — это маркетплейс для поиска репетиторов по языкам, не соответствующий ни одному ИИ-агенту из каталога, специализирующемуся на персонализированных инструментах обучения."
1165,edu-capital,web,Future of education,https://web.szl.ai/,AI tutor for students,Acquired,,,,5.4,7,8,1,2,9,"Продукт представляет собой ИИ-репетитора с персонализированной траекторией, адаптивными материалами и обратной связью, но без элементов совместной деятельности и геймификации.",ИИ-помощник,Персонализированная траектория,Протестировать,10,"Стартап представляет собой AI-тьютора для студентов, что напрямую соответствует агенту 'ИИ-помощник', который отвечает на вопросы учеников по содержанию курса."
1166,edu-capital,studentpop,Future of education,https://www.studentpop.fr,Student jobbing platform,,,,,0.0,0,0,0,0,0,"Платформа для поиска работы студентами не является образовательным продуктом, поэтому модель PMO не применима.",unmatched,,,0,"Платформа studentpop предназначена для поиска студенческих подработок, а не для персонализированного обучения, поэтому не соответствует ни одному агенту каталога ПМО."
1168,edu-capital,tomorrow,Future of education,https://www.tomorrow.university,Online University,,,,,2.2,2,1,3,2,3,"Продукт представляет собой онлайн-университет без информации о персонализированных траекториях или адаптивных материалах, поэтому все инструменты PMO оценены минимально.",unmatched,,,0,"Стартап представляет собой целостный онлайн-университет, а не отдельный ИИ-агент из каталога; ни один из 44 агентов не отражает сути комплексной образовательной платформы."
1169,edu-capital,vocal,Future of education,https://apps.apple.com/fr/app/vocal-image-coach-vocal-ia/id1535324205,Mobile AI coach for communication,,,,,6.4,7,8,2,5,10,"Продукт является образовательным ИИ-коучем по коммуникациям с адаптивной траекторией и материалами, но без совместной деятельности.",unmatched,,,6,"Стартап является мобильным AI-коучем для развития коммуникативных навыков, а агент 24 генерирует персонализированную формирующую обратную связь с конкретными рекомендациями, что наиболее совпадает с функцией обратной связи стартапа."
1170,edu-capital,wecandoo,Future of education,https://wecandoo.fr,Marketplace for craftship workshops,,,,,1.2,2,1,2,0,1,"Маркетплейс для мастер-классов по ремеслам, практически не использующий персонализацию, адаптивные материалы, геймификацию или автоматизированную обратную связь в процессе обучения.",unmatched,,,0,"Стартап является маркетплейсом ремесленных мастер-классов, что не соответствует функционалу ни одного ИИ-агента в каталоге."
